study_id,contrast_id,x,y,z
30001,1,-27,-94,5
30001,1,-29,-54,-3
30001,1,-36,46,14
30001,1,-38,-13,-21
30001,1,-42,-18,-29
30001,1,-42,-61,16
30001,1,-52,-38,31
30001,1,-53,-36,13
30001,1,-57,-11,-16
30001,1,-61,-25,39
30001,1,-61,-60,11
30001,1,18,-38,-33
30001,1,20,5,-19
30001,1,38,-23,-12
30001,1,38,-33,43
30001,1,40,-18,-35
30001,1,40,-36,3
30001,1,42,48,3
30001,1,47,-30,29
30001,1,47,-69,1
30001,1,53,-37,21
30002,2,13,53,20
30002,2,3,22,54
30002,2,46,25,-8
30002,2,48,16,36
30002,2,50,-29,-9
30002,2,52,-62,30
30003,1,-2,-48,-20
30003,1,-28,36,32
30003,1,14,-82,46
30003,1,24,50,34
30003,1,7,10,68
30004,1,-12,-63,-3
30004,1,-35,-85,18
30004,1,-7,-71,21
30004,1,10,-39,-23
30004,1,21,-50,-9
30004,1,27,-40,-10
30004,1,38,-78,20
30005,1,-15,10,54
30005,1,-21,-56,48
30005,1,-4,-14,59
30005,1,16,-11,51
30006,3,-49,-35,26
30007,1,-31,-40,40
30007,1,-32,-24,53
30007,1,-33,-27,48
30007,1,-34,-21,63
30007,1,-37,-26,55
30007,1,-39,-29,56
30007,1,-40,-27,62
30007,1,-41,-34,51
30007,1,-48,-31,37
30007,1,-53,3,34
30007,1,-8,-6,50
30007,1,25,-50,-24
30007,1,27,-2,54
30007,1,30,-52,-45
30007,1,44,-39,46
30007,1,52,12,28
30008,1,-29,25,8
30008,1,-35,13,33
30008,1,-38,-59,-19
30008,1,14,-70,-33
30008,1,2,6,58
30008,1,37,-69,-22
30008,1,8,16,57
30009,1,-11,-95,-6
30009,1,-12,-82,-14
30009,1,-18,-88,-10
30009,1,-21,-82,-17
30009,1,-25,-51,38
30009,1,-25,-53,49
30009,1,-28,-100,15
30009,1,-28,-75,37
30009,1,-29,-94,1
30009,1,-29,22,1
30009,1,-31,-64,50
30009,1,-32,-43,-17
30009,1,-32,-49,-16
30009,1,-32,-76,-17
30009,1,-35,-55,-16
30009,1,-35,-83,7
30009,1,-35,0,62
30009,1,-38,10,33
30009,1,-5,-69,-18
30009,1,-5,15,50
30009,1,-52,27,32
30009,1,1,-52,-20
30009,1,1,-61,-9
30009,1,11,-14,10
30009,1,11,-15,-3
30009,1,11,-73,15
30009,1,11,15,54
30009,1,14,-96,14
30009,1,14,22,45
30009,1,17,-78,-11
30009,1,2,-86,16
30009,1,2,3,61
30009,1,21,-83,3
30009,1,21,-97,1
30009,1,24,-99,14
30009,1,28,-53,48
30009,1,28,-75,-12
30009,1,34,-80,-1
30009,1,34,29,3
30009,1,35,-71,33
30009,1,35,-91,3
30009,1,38,-63,52
30009,1,38,0,55
30009,1,38,4,64
30009,1,40,65,3
30009,1,41,-53,51
30009,1,41,-68,-9
30009,1,41,-9,62
30009,1,44,14,29
30009,1,50,40,27
30009,1,51,15,42
30009,1,8,-69,-12
30009,1,8,-76,-29
30010,1,-28,-65,46
30010,1,-41,-2,38
30010,1,-48,22,23
30010,1,-59,-1,17
30010,1,14,14,33
30010,1,47,-50,-7
30010,1,47,33,31
30011,2,-16,-33,-8
30011,2,-16,-85,-35
30011,2,-16,4,3
30011,2,-19,-26,-12
30011,2,-19,-73,43
30011,2,-26,-73,39
30011,2,-26,-83,-35
30011,2,-29,-25,54
30011,2,-3,-87,-3
30011,2,-33,27,2
30011,2,-42,-14,49
30011,2,-42,14,30
30011,2,-42,7,30
30011,2,-45,-2,39
30011,2,-49,-42,24
30011,2,-6,-90,-3
30011,2,-9,-23,5
30011,2,1,-2,61
30011,2,1,-2,65
30011,2,1,-47,45
30011,2,1,18,38
30011,2,10,-19,6
30011,2,10,-74,-1
30011,2,10,-83,-1
30011,2,18,-33,-8
30011,2,18,4,3
30011,2,21,-26,-12
30011,2,21,-81,-34
30011,2,21,-85,-35
30011,2,24,-10,56
30011,2,24,-76,43
30011,2,31,27,2
30011,2,7,-69,39
30012,2,-22,0,45
30012,2,-3,-78,39
30012,2,21,0,44
30012,2,4,-70,11
30012,2,43,-70,37
30012,2,45,24,28
30013,2,-40,-20,52
30013,2,-44,27,1
30014,3,-34,51,5
30014,3,-35,-52,48
30014,3,-41,20,35
30014,3,-42,10,41
30014,3,-44,-54,50
30014,3,-47,39,-11
30014,3,28,56,-2
30014,3,40,-56,50
30014,3,40,36,32
30014,3,8,-69,51
30015,2,-1,-33,-1
30015,2,-48,1,41
30015,2,11,-76,-21
30015,2,3,-33,-1
30015,2,53,-5,53
30016,3,-30,-22,62
30016,3,-42,-41,65
30016,3,13,-48,-22
30017,3,-24,-107,-18
30017,3,-6,-85,-3
30017,3,24,-105,-16
30017,3,38,2,54
30017,3,44,33,41
30017,3,44,9,68
30017,3,57,27,30
30018,7,-4,24,44
30018,7,-48,24,0
30019,2,-38,30,8
30019,2,-46,-38,-12
30020,7,46,-6,56
30020,7,48,-23,24
30020,7,57,9,21
30021,1,-1,36,30
30021,1,-11,-68,60
30021,1,-30,-51,50
30021,1,-33,22,-2
30021,1,-34,-75,27
30021,1,-37,1,40
30021,1,-39,33,22
30021,1,-46,7,24
30021,1,-6,19,46
30021,1,0,-47,29
30021,1,1,-48,52
30021,1,23,6,52
30021,1,28,-79,41
30021,1,32,-48,50
30021,1,35,26,-3
30021,1,40,38,19
30021,1,48,-54,-5
30022,1,-52,-8,38
30022,1,51,-4,38
30023,2,-14,-67,-35
30023,2,-43,-18,-32
30023,2,-61,12,18
30023,2,-7,-86,18
30023,2,33,-43,-5
30023,2,34,-71,-30
30023,2,39,-16,-33
30023,2,48,-2,-33
30023,2,51,-28,29
30024,1,-12,-22,2
30024,1,-12,-25,70
30024,1,-16,-62,15
30024,1,-3,-42,34
30024,1,-60,-17,23
30024,1,25,-15,0
30024,1,5,19,42
30025,2,-15,-26,70
30025,2,-2,2,46
30025,2,-32,-51,45
30025,2,-57,-13,32
30026,6,-22,-77,53
30026,6,-37,-60,51
30026,6,-39,-34,53
30026,6,-41,-47,55
30026,6,28,-70,51
30026,6,32,-83,30
30026,6,33,56,3
30026,6,34,-10,59
30026,6,34,45,22
30026,6,49,11,25
30027,4,-42,-3,1
30027,4,49,-4,-1
30028,3,38,-31,-5
30029,4,-10,-14,-3
30029,4,-29,8,2
30029,4,-37,-24,54
30029,4,-48,-27,52
30029,4,31,14,-1
30030,3,-29,-61,54
30030,3,-43,-41,48
30030,3,24,-68,50
30030,3,47,-72,-6
30031,1,-52,-17,18
30031,1,-62,-15,46
30031,1,61,-10,52
30031,1,64,-19,20
30032,2,-10,-83,-14
30032,2,-10,53,-5
30032,2,-23,-11,-21
30032,2,-24,23,38
30032,2,-33,-74,21
30032,2,-33,4,0
30032,2,-43,7,-36
30032,2,-46,-72,-10
30032,2,-49,30,7
30032,2,-5,-15,6
30032,2,1,-48,18
30032,2,25,-70,15
30032,2,25,45,-18
30032,2,25,54,46
30032,2,3,42,14
30032,2,31,8,-10
30032,2,34,-95,-9
30032,2,35,-25,-34
30032,2,4,-106,19
30032,2,47,-78,-2
30033,4,-2,8,56
30033,4,-38,-62,-20
30033,4,-40,-70,-30
30033,4,-6,14,38
30033,4,38,-26,46
30033,4,38,22,2
30033,4,42,-70,-30
30033,4,42,-8,50
30033,4,48,-20,46
30033,4,54,-14,38
30034,1,-33,0,32
30034,1,-40,-35,-5
30034,1,-51,40,-8
30034,1,-9,18,30
30034,1,29,27,10
30035,1,-32,-20,64
30035,1,-32,32,-16
30035,1,-40,-16,60
30035,1,-48,-44,-24
30035,1,-48,-52,-16
30035,1,-48,-60,-20
30035,1,-48,16,20
