BMapID	ExpID	Exp Name	Year	1st Author	PubMed	Diagnosis	Stimulus Mod	Stimulus Type	Response Mod	Response Type	Instructions	Context	Paradigm	Behavior	Activation	#Subj
30001	1	FA, Encoding > Retrieval in Old	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Encode, Recall	Age Effects	Encoding, Tone Monitor/Discrimination	Cognition.Memory.Explicit	Y	12
30001	2	FA, Encoding > Retrieval in Young	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Encode, Recall	Normal Mapping	Encoding, Tone Monitor/Discrimination	Cognition.Memory.Explicit	Y	12
30001	3	FA, Retrieval > Encoding in Old	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Encode, Recall	Age Effects	Paired Associate Recall, Tone Monitor/Discrimination	Cognition.Memory.Explicit	Y	12
30001	4	FA, Retrieval > Encoding in Young	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Encode, Recall	Normal Mapping	Paired Associate Recall, Tone Monitor/Discrimination	Cognition.Memory.Explicit	Y	12
30001	5	FA > DA (Encoding) in Old	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Discriminate, Encode	Age Effects	Encoding, Tone Monitor/Discrimination	Cognition.Attention	Y	12
30001	6	FA > DA (Encoding) in Young	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Discriminate, Encode	Normal Mapping	Encoding, Tone Monitor/Discrimination	Cognition.Attention	Y	12
30001	7	DA > FA (Encoding) in Old	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Discriminate, Encode	Age Effects	Divided Auditory Attention, Encoding, Tone Monitor/Discrimination	Cognition.Attention	Y	12
30001	8	DA > FA (Encoding) in Young	Journal of Cognitive Neuroscience	2000	Anderson N D	11054920	Normals	Auditory, Visual	Tones, Words	Hand, Oral/Facial	Button Press, Speech	Discriminate, Encode	Normal Mapping	Divided Auditory Attention, Encoding, Tone Monitor/Discrimination	Cognition.Attention	Y	12
30002	1	Object- > Location-based Cueing	Journal of Cognitive Neuroscience	2000	Arrington C M	11506651	Normals	Visual	Letters, Shapes	Hand	Button Press	Discriminate	Normal Mapping	Visuospatial Attention	Cognition.Attention	Y	12
30002	2	Invalid > Valid Cueing	Journal of Cognitive Neuroscience	2000	Arrington C M	11506651	Normals	Visual	Letters, Shapes	Hand	Button Press	Discriminate	Normal Mapping	Visuospatial Attention	Cognition.Attention	Y	12
30003	1	Religious, Recite vs. Rest:  Religious Subjects	European Journal of Neuroscience	2001	Azari N P	11328359	Normals	None, Visual	None, Words	None, Oral/Facial	None, Speech	Passive/Rest, Recall	Normal Mapping	Recitation/Repetition (Overt)	Emotion	Y	6
30003	2	Religious, Recite:  Religious vs. Non-Religious Subjects	European Journal of Neuroscience	2001	Azari N P	11328359	Normals	Visual	Words	Oral/Facial	Speech	Recall	Normal Mapping	Recitation/Repetition (Overt)	Emotion	Y	6
30003	3	Religious, Recite:  Religious Subjects vs. Happy, Recite:  Non-Religious Subjects	European Journal of Neuroscience	2001	Azari N P	11328359	Normals	Visual	Words	Oral/Facial	Speech	Recall	Normal Mapping	Recitation/Repetition (Overt)	Emotion.Happiness	Y	6
30004	1	Even vs. Random	Visual Neuroscience	1998	Beason-Held L L	9685203	Normals	Visual	Abstract/Geometrical	None	None	Attend	Normal Mapping	Passive Viewing	Perception.Vision.Shape	Y	8
30005	1	Subliminal Incidental Encoding - Baseline	Neuroreport	1998	Beauregard M	9665617	Normals	Visual	Digits, Words	Hand	Button Press	Attend	Normal Mapping	Encoding	Cognition.Memory.Explicit	Y	13
30005	2	Primed - Unprimed Semantic Category Decision	Neuroreport	1998	Beauregard M	9665617	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics, Cognition.Memory.Explicit	Y	13
30005	3	Unprimed Semantic Category Decision - Baseline	Neuroreport	1998	Beauregard M	9665617	Normals	Visual	Digits, Words	Hand	Button Press	Attend, Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	13
30006	1	Words > Tones - Passive	Brain	1996	Binder J R	8813286	Normals	Auditory	Tones, Words	Hand	Button Press	Detect	Normal Mapping	Passive Listening	Cognition.Language.Speech	Y	12
