study_id,contrast_id,x,y,z
30001,5,-14,-58,28
30001,5,-15,51,-27
30001,5,-25,-79,8
30001,5,-27,-44,-9
30001,5,-27,23,38
30001,5,-3,65,11
30001,5,-31,-73,-15
30001,5,-34,21,-24
30001,5,-35,-17,34
30001,5,-35,-84,27
30001,5,-43,-6,-35
30001,5,-44,-69,30
30001,5,-5,-42,36
30001,5,-51,44,-4
30001,5,-57,-60,-11
30001,5,-6,20,-11
30001,5,-60,-26,-23
30001,5,12,-64,2
30001,5,16,5,-19
30001,5,21,-97,23
30001,5,31,-98,-9
30001,5,31,28,-17
30001,5,34,-21,10
30001,5,34,-35,-6
30001,5,53,-10,27
30001,5,57,-2,-23
30002,1,-10,-71,14
30002,1,-13,-50,-3
30002,1,-16,-34,-5
30002,1,-16,42,33
30002,1,-22,-29,1
30002,1,-31,-33,45
30002,1,-32,40,-6
30002,1,-41,-23,56
30002,1,-46,-27,-25
30002,1,-65,-35,5
30002,1,13,-53,0
30002,1,13,-54,-43
30002,1,17,-73,-10
30002,1,2,45,-17
30002,1,8,-75,19
30003,2,24,50,34
30003,2,7,10,68
30004,1,-12,-63,-3
30004,1,-35,-85,18
30004,1,-7,-71,21
30004,1,10,-39,-23
30004,1,21,-50,-9
30004,1,27,-40,-10
30004,1,38,-78,20
30005,1,-15,10,54
30005,1,-21,-56,48
30005,1,-4,-14,59
30005,1,16,-11,51
30008,1,-29,25,8
30008,1,-35,13,33
30008,1,-38,-59,-19
30008,1,14,-70,-33
30008,1,2,6,58
30008,1,37,-69,-22
30008,1,8,16,57
30009,1,-11,-95,-6
30009,1,-12,-82,-14
30009,1,-18,-88,-10
30009,1,-21,-82,-17
30009,1,-25,-51,38
30009,1,-25,-53,49
30009,1,-28,-100,15
30009,1,-28,-75,37
30009,1,-29,-94,1
30009,1,-29,22,1
30009,1,-31,-64,50
30009,1,-32,-43,-17
30009,1,-32,-49,-16
30009,1,-32,-76,-17
30009,1,-35,-55,-16
30009,1,-35,-83,7
30009,1,-35,0,62
30009,1,-38,10,33
30009,1,-5,-69,-18
30009,1,-5,15,50
30009,1,-52,27,32
30009,1,1,-52,-20
30009,1,1,-61,-9
30009,1,11,-14,10
30009,1,11,-15,-3
30009,1,11,-73,15
30009,1,11,15,54
30009,1,14,-96,14
30009,1,14,22,45
30009,1,17,-78,-11
30009,1,2,-86,16
30009,1,2,3,61
30009,1,21,-83,3
30009,1,21,-97,1
30009,1,24,-99,14
30009,1,28,-53,48
30009,1,28,-75,-12
30009,1,34,-80,-1
30009,1,34,29,3
30009,1,35,-71,33
30009,1,35,-91,3
30009,1,38,-63,52
30009,1,38,0,55
30009,1,38,4,64
30009,1,40,65,3
30009,1,41,-53,51
30009,1,41,-68,-9
30009,1,41,-9,62
30009,1,44,14,29
30009,1,50,40,27
30009,1,51,15,42
30009,1,8,-69,-12
30009,1,8,-76,-29
30010,1,-28,-65,46
30010,1,-41,-2,38
30010,1,-48,22,23
30010,1,-59,-1,17
30010,1,14,14,33
30010,1,47,-50,-7
30010,1,47,33,31
30011,2,-16,-33,-8
30011,2,-16,-85,-35
30011,2,-16,4,3
30011,2,-19,-26,-12
30011,2,-19,-73,43
30011,2,-26,-73,39
30011,2,-26,-83,-35
30011,2,-29,-25,54
30011,2,-3,-87,-3
30011,2,-33,27,2
30011,2,-42,-14,49
30011,2,-42,14,30
30011,2,-42,7,30
30011,2,-45,-2,39
30011,2,-49,-42,24
30011,2,-6,-90,-3
30011,2,-9,-23,5
30011,2,1,-2,61
30011,2,1,-2,65
30011,2,1,-47,45
30011,2,1,18,38
30011,2,10,-19,6
30011,2,10,-74,-1
30011,2,10,-83,-1
30011,2,18,-33,-8
30011,2,18,4,3
30011,2,21,-26,-12
30011,2,21,-81,-34
30011,2,21,-85,-35
30011,2,24,-10,56
30011,2,24,-76,43
30011,2,31,27,2
30011,2,7,-69,39
30012,1,-14,1,-31
30012,1,-47,-10,-30
30012,1,14,9,-15
30012,1,22,-1,-27
30012,1,40,8,-28
30013,1,-20,-34,13
30013,1,-33,22,39
30013,1,-41,53,1
30013,1,-49,-49,43
30013,1,-8,-68,37
30013,1,14,-46,41
30013,1,41,14,52
30013,1,42,42,-1
30013,1,44,-51,24
30013,1,62,-49,-4
30014,2,-13,-35,66
30014,2,-28,49,16
30014,2,-32,-25,60
30014,2,-32,27,5
30014,2,-35,51,3
30014,2,-39,5,45
30014,2,-40,-47,44
30014,2,-42,20,36
30014,2,-46,41,-11
30014,2,-5,-26,59
30014,2,-5,-64,48
30014,2,-62,-33,-8
30014,2,-8,6,62
30014,2,1,-28,24
30014,2,11,30,32
30014,2,16,39,18
30014,2,17,12,56
30014,2,31,3,60
30014,2,34,56,-2
30014,2,38,34,41
30014,2,40,-56,50
30014,2,66,-35,-11
30014,2,7,-68,47
30014,2,8,20,50
30015,1,-1,-33,-1
30015,1,-43,-5,45
30015,1,3,-33,-1
30015,1,5,-73,-19
30015,1,50,-7,51
30016,3,-30,-22,62
30016,3,-42,-41,65
30016,3,13,-48,-22
30017,3,-24,-107,-18
30017,3,-6,-85,-3
30017,3,24,-105,-16
30017,3,38,2,54
30017,3,44,33,41
30017,3,44,9,68
30017,3,57,27,30
30018,2,-38,30,8
30018,2,-46,-38,-12
30019,6,-36,-54,8
30019,6,-38,4,-16
30019,6,16,-14,-28
30019,6,4,32,0
30021,1,-1,36,30
30021,1,-11,-68,60
30021,1,-30,-51,50
30021,1,-33,22,-2
30021,1,-34,-75,27
30021,1,-37,1,40
30021,1,-39,33,22
30021,1,-46,7,24
30021,1,-6,19,46
30021,1,0,-47,29
30021,1,1,-48,52
30021,1,23,6,52
30021,1,28,-79,41
30021,1,32,-48,50
30021,1,35,26,-3
30021,1,40,38,19
30021,1,48,-54,-5
30023,2,-14,-67,-35
30023,2,-43,-18,-32
30023,2,-61,12,18
30023,2,-7,-86,18
30023,2,33,-43,-5
30023,2,34,-71,-30
